"Store","WeekDate","Temperature","FuelPrice","CPI","UnemploymentRate"
7,"2010-03-05",35.86,2.62,189.6695049,9.014
29,"2011-04-29",57.2,3.988,134.4357333,9.966
25,"2011-09-09",67.51,3.738,209.0225562,7.274
25,"2012-05-25",67.69,3.798,214.5499425,7.139
12,"2010-12-24",52.02,3.236,126.9835806,14.313
32,"2012-04-27",61.76,3.927,197.664546,8.09
40,"2011-01-28",9.51,3.243,133.1059677,5.114
37,"2011-10-21",67.89,3.353,216.2468287,7.716
3,"2010-08-06",85.13,2.627,214.8341952,7.346
5,"2011-06-10",83.61,3.648,215.6064555,6.489
26,"2011-04-22",33.81,3.919,134.3571,7.818
13,"2010-07-16",77.79,2.791,126.1498065,7.951
26,"2012-10-12",45.19,4.029,138.9117,7.138
10,"2010-08-27",84.99,3.022,126.0892903,9.199
21,"2010-07-23",87.17,2.608,210.8921319,8.099
30,"2011-08-05",94.22,3.684,215.1978515,7.852
4,"2010-10-29",56.94,2.718,126.4364194,7.127
20,"2012-05-11",63.19,3.889,214.5319099,7.139
3,"2012-05-11",75.19,3.688,225.2351496,6.664
44,"2010-03-05",40.65,2.681,126.5782857,8.119
18,"2011-04-01",35.06,3.638,134.0682581,8.975
4,"2011-03-04",46.56,3.305,128.26475,6.51
31,"2012-08-03",91.57,3.417,221.5869799,6.565
3,"2010-10-15",69.71,2.72,215.1293114,7.564
22,"2012-09-28",62.17,4.018,142.76575,7.753
41,"2012-02-10",22,3.103,196.9195056,6.589
22,"2012-06-15",66.56,3.683,142.1292548,7.671
38,"2010-06-25",87.27,3.084,126.1266,14.099
21,"2010-07-09",81.67,2.642,210.7657317,8.099
5,"2010-08-27",87.05,2.619,212.123908,6.496
35,"2012-08-17",76.51,3.807,142.2157385,8.839
33,"2011-08-05",96.93,3.803,129.1846452,8.442
13,"2010-06-18",58.41,2.819,126.114,8.107
34,"2010-03-05",42.65,2.654,126.5782857,9.521
1,"2011-11-04",54.98,3.332,217.837382,7.866
34,"2010-10-08",65.21,2.645,126.2791667,10.21
25,"2010-09-24",65.06,2.713,204.8182126,7.527
13,"2010-09-17",66.84,2.875,126.1454667,7.951
9,"2012-09-21",69.92,3.721,226.5599138,5.277
23,"2010-02-12",18.75,2.771,131.5866129,5.892
8,"2010-02-05",34.14,2.572,214.4714512,6.299
16,"2010-04-23",44.9,2.776,189.6190057,6.842
22,"2011-10-21",59.3,3.618,140.4616048,7.706
43,"2012-07-13",78.82,3.256,213.3134286,9.285
40,"2011-04-15",43.69,3.823,134.2784667,4.781
25,"2012-03-30",47.92,3.953,214.1647079,6.961
33,"2012-05-25",88.89,4.127,131.0287742,7.396
11,"2012-09-14",79.61,3.717,226.1122067,6.334
45,"2011-04-08",48.71,3.72,185.3636656,8.521
12,"2011-07-08",89.9,3.705,129.1125,13.503
9,"2012-02-10",44.03,3.409,223.9953006,5.667
33,"2011-12-09",47.7,3.644,129.8555333,8.01
19,"2010-04-16",49.67,3.01,131.9809,8.185
32,"2011-02-04",15.47,3.011,191.7625895,8.818
23,"2012-05-25",66.43,3.85,138.1101935,4.125
17,"2012-04-27",59.11,3.842,131.1266667,6.235
20,"2011-06-10",73.64,3.881,208.1535092,7.287
4,"2011-06-10",80.05,3.64,129.0357097,5.946
45,"2011-04-15",53.69,3.821,185.5339821,8.521
21,"2010-05-14",73.08,2.854,209.9984585,8.2
2,"2012-02-17",43.82,3.51,220.0651993,7.057
39,"2010-12-03",53.55,2.708,210.376263,8.476
20,"2011-08-26",70.15,3.704,208.902476,7.274
41,"2012-04-13",46.84,3.901,197.780931,6.547
26,"2012-03-09",29.03,3.876,137.5066897,7.467
27,"2011-02-18",39.32,3.42,137.2511849,7.827
18,"2011-01-07",30.1,3.193,132.8823226,9.131
24,"2010-05-28",69.59,3.046,132.2939355,8.211
16,"2012-06-08",65.43,3.741,197.6551863,6.169
11,"2012-07-06",83.44,3.227,225.3916254,6.334
16,"2010-09-03",58.02,2.773,190.3621607,6.868
29,"2010-08-13",74.75,2.81,132.63,10.409
23,"2011-11-04",39.18,3.586,136.475129,4.42
41,"2011-07-29",71.3,3.547,193.711525,6.901
19,"2012-04-06",40.23,4.143,137.7970968,8.15
20,"2010-02-05",25.92,2.784,204.2471935,8.187
41,"2012-03-02",27.39,3.191,196.9565303,6.589
41,"2012-06-22",66.88,3.735,197.7389345,6.547
15,"2011-10-14",61.3,3.744,136.5150968,7.866
17,"2011-06-10",54.57,3.732,129.0357097,6.774
45,"2011-01-28",24.05,3.237,183.1800955,8.549
26,"2010-12-03",27.73,3.065,132.7566667,8.149
8,"2010-12-24",45.67,2.886,214.7479069,6.433
26,"2011-05-20",48.86,4.101,134.6803871,7.818
24,"2012-08-31",71.18,4.026,138.3771935,8.953
5,"2012-07-27",85.06,3.407,222.5297234,5.603
39,"2010-08-20",85.73,2.664,210.3617581,8.36
2,"2010-05-14",73.31,2.854,209.9984585,8.2
21,"2011-05-13",75.04,3.899,215.6124735,7.931
21,"2010-02-19",39.75,2.514,210.9451605,8.324
36,"2010-09-24",79.17,2.578,210.3664469,8.36
41,"2010-08-20",66.19,2.732,190.2948237,7.335
9,"2011-01-21",44.72,3.016,215.3554013,6.416
5,"2010-12-24",55.01,2.886,211.9573978,6.768
34,"2010-12-31",34.11,2.955,127.0876774,10.21
36,"2012-08-10",84.41,3.49,220.6404663,6.623
26,"2012-08-03",65.6,3.698,138.1735806,7.405
7,"2010-10-22",36.84,2.762,190.9070184,9.137
23,"2010-05-07",61.04,2.981,132.1062,5.435
26,"2011-01-14",16.7,3.215,132.9510645,7.907
27,"2010-04-02",46.9,2.957,135.7464988,8.058
7,"2010-09-03",49.84,2.773,190.3621607,9.017
24,"2011-09-30",68,3.858,136.4195,8.358
3,"2011-10-28",71.04,3.372,221.0801842,7.197
26,"2012-06-22",63.04,3.629,138.1629,7.489
3,"2011-12-02",54.97,3.172,222.1589519,7.197
17,"2010-05-21",53.94,2.95,126.1843871,6.635
6,"2010-11-19",52.99,2.771,213.4107412,7.007
37,"2010-07-30",81.88,2.64,210.1286794,8.36
44,"2010-02-26",29.98,2.667,126.5522857,8.119
3,"2011-07-15",87.14,3.575,218.7275216,7.567
33,"2011-06-17",91.11,3.935,129.0432,8.687
5,"2010-03-12",58.5,2.667,211.9371839,6.566
13,"2010-10-22",56.89,2.849,126.3815484,7.795
14,"2011-04-15",53.69,3.821,185.5339821,8.521
18,"2011-09-30",69.01,3.684,136.4195,8.89
33,"2011-10-21",81.74,3.842,129.7821613,8.01
39,"2012-01-06",55.83,3.157,218.4062876,7.244
8,"2010-02-19",39.1,2.514,214.6664878,6.299
19,"2011-08-05",73.84,4.02,136.0540323,7.806
23,"2010-04-23",46.4,2.895,132.0226667,5.435
5,"2012-09-14",76.65,3.717,223.1734167,5.603
17,"2010-10-29",39.87,2.841,126.4364194,6.885
33,"2010-04-02",66.79,3.086,126.6034839,9.849
36,"2010-02-12",46.11,2.539,209.9970208,8.554
32,"2011-10-28",42.76,3.55,195.3318977,8.513
24,"2011-02-04",23.83,3.4,133.1834194,8.252
6,"2012-03-30",67.91,3.845,222.9675066,6.132
20,"2011-12-09",41.64,3.415,211.8667856,7.082
5,"2012-08-03",86.91,3.417,222.5385111,5.603
8,"2011-09-02",84.77,3.533,219.1970226,6.425
8,"2012-04-13",65.19,3.891,225.0625714,5.679
23,"2012-02-24",31.12,3.751,137.3411034,4.261
31,"2010-10-15",68.61,2.72,211.4713286,8.163
28,"2011-09-09",88,3.913,129.3686129,13.503
10,"2012-03-16",62.11,4.273,130.8261935,7.545
19,"2010-04-02",45.26,2.957,131.9019677,8.185
25,"2010-12-31",25.89,3.179,204.6432267,7.484
30,"2011-10-14",69.79,3.274,217.0048261,7.441
19,"2011-08-19",71.14,3.942,136.183129,7.806
30,"2010-04-30",66.93,2.78,210.0505833,8.2
7,"2012-04-20",39.3,3.936,197.7227385,8.09
12,"2010-03-12",50.11,2.925,126.6042857,13.975
24,"2012-02-17",33.92,3.874,137.2583103,8.659
42,"2012-05-25",86.03,4.127,131.0287742,7.382
4,"2011-06-17",83.51,3.618,129.0432,5.946
19,"2011-10-07",53.1,3.775,136.472,7.866
9,"2010-10-08",65.35,2.633,215.290437,6.56
3,"2011-02-18",61.58,3.045,216.5843571,7.551
21,"2010-02-12",37.77,2.548,210.8979935,8.324
22,"2011-01-14",24.76,3.215,136.803477,8.458
27,"2010-05-07",69.02,3.095,135.962,8.058
45,"2012-01-20",31.85,3.533,189.4214733,8.424
29,"2012-03-02",37.47,3.827,137.4238966,8.988
23,"2011-12-23",27.8,3.413,136.5883871,4.42
34,"2012-08-31",75.89,3.646,130.8853548,9.285
31,"2011-09-09",78.87,3.546,215.5148295,7.852
37,"2010-08-20",85.54,2.664,210.3617581,8.36
12,"2011-04-08",64.47,4.003,128.8238065,13.736
44,"2010-07-09",71.33,2.802,126.1518,7.804
39,"2011-06-10",82.75,3.648,213.7917147,8.3
22,"2011-04-15",48.88,3.823,138.1646952,8.252
38,"2010-03-12",50.11,2.925,126.6042857,13.975
32,"2012-01-13",28.99,3.077,196.7330517,8.256
33,"2012-10-19",75.55,4.449,131.1499677,6.895
9,"2010-09-03",82.47,2.577,215.0779426,6.442
45,"2010-06-18",72.62,2.78,182.4424199,8.899
5,"2010-06-11",80.7,2.668,212.0142605,6.465
41,"2011-10-14",47.43,3.491,195.0261012,6.759
8,"2010-04-30",61.01,2.78,213.7176024,6.29
44,"2011-04-22",47.55,3.655,128.9553,6.906
30,"2012-05-04",77.53,3.749,221.3095166,6.891
7,"2010-12-10",24.24,2.728,190.9741069,9.137
29,"2010-04-02",44.96,2.826,131.9019677,10.16
26,"2011-12-09",34.24,3.47,136.5030667,7.598
6,"2010-06-11",81.81,2.668,212.9835992,7.092
36,"2012-07-27",84,3.392,220.6234054,6.623
35,"2011-03-18",46.65,3.631,137.7398929,8.549
31,"2011-05-20",68.36,3.907,215.3834778,7.931
1,"2010-11-26",64.52,2.735,211.7484333,7.838
11,"2010-05-07",75.57,2.835,213.6211778,7.343
5,"2012-02-17",48.25,3.51,221.0106341,5.943
5,"2012-03-16",63.55,3.734,221.7989713,5.943
38,"2012-04-27",77.99,4.193,131.1266667,11.627
6,"2011-09-09",80.21,3.546,217.3980304,6.925
10,"2011-02-25",53.59,3.398,128.13,8.744
10,"2010-08-13",88.37,3.049,126.064,9.199
24,"2010-12-03",37.08,3.2,132.7566667,8.275
2,"2010-12-17",47.55,2.869,211.0645458,8.163
29,"2010-03-05",36.82,2.766,131.735,10.064
7,"2010-07-16",62.19,2.699,189.6125456,9.017
9,"2010-10-29",64.43,2.716,215.4573607,6.56
2,"2010-10-01",69.24,2.603,211.3298742,8.163
26,"2010-10-01",57.8,2.717,132.7568,8.149
33,"2010-08-20",96.46,3.041,126.0766452,9.495
14,"2011-06-17",69.32,3.842,185.6719333,8.521
5,"2011-05-20",71.37,3.907,216.3023847,6.489
16,"2010-03-05",27.92,2.62,189.6695049,7.039
16,"2010-02-05",19.79,2.58,189.3816974,7.039
12,"2012-03-23",56.26,4.038,130.8966452,12.187
36,"2011-04-01",67.31,3.529,213.5776701,8.3
16,"2011-07-08",65,3.54,193.1878448,6.338
8,"2012-01-20",46.81,3.268,223.5188055,5.825
6,"2010-06-25",84.2,2.653,212.8641412,7.092
33,"2010-12-10",60.72,3.091,126.7934,9.265
35,"2010-05-28",67.88,2.899,136.1489101,9.051
27,"2010-06-25",78.02,2.958,136.3483143,8.058
25,"2010-10-22",46.73,2.917,205.0627881,7.484
10,"2012-04-13",70.28,4.254,131.108,7.382
28,"2011-12-02",52.5,3.701,129.8459667,12.89
30,"2011-04-15",71.01,3.743,214.9420631,7.931
3,"2011-09-16",83.63,3.526,219.3972867,7.567
38,"2011-11-25",53.25,3.622,129.8364,12.89
6,"2011-08-26",90.07,3.523,217.2706543,6.925
32,"2011-04-01",44.83,3.461,192.2691707,8.595
10,"2012-03-02",57.62,3.882,130.6457931,7.545
4,"2011-04-08",62.61,3.605,128.8238065,5.946
34,"2012-03-23",47.93,3.759,130.8966452,9.653
17,"2011-06-17",56.61,3.704,129.0432,6.774
30,"2011-12-30",45.16,3.129,219.1773063,7.441
33,"2012-09-28",86.42,3.966,131.043,7.147
34,"2012-07-27",77.3,3.356,130.7195806,9.285
37,"2010-09-10",80.58,2.565,210.2641156,8.36
6,"2010-08-20",87.36,2.664,213.1291427,6.973
35,"2011-04-01",37.27,3.638,137.9558929,8.512
24,"2011-11-25",41.83,3.689,136.4788,8.454
4,"2012-05-25",77.47,3.551,131.0287742,4.308
3,"2011-11-04",59.31,3.332,221.245968,7.197
18,"2010-09-24",64.82,2.718,132.7619333,9.342
41,"2010-07-02",69.39,2.728,189.4882603,7.335
35,"2011-10-21",59.62,3.57,140.4616048,8.745
1,"2012-08-10",85.05,3.494,221.9584329,6.908
27,"2010-05-28",67.88,3.046,136.1489101,8.058
37,"2012-03-23",69.18,3.787,219.9705599,7.244
38,"2010-07-30",96.31,3.017,126.1069032,14.18
25,"2012-04-06",44.73,3.996,214.2387053,7.139
20,"2011-12-02",46.32,3.452,211.6394306,7.082
10,"2012-05-04",77.02,4.058,131.136,7.382
28,"2012-05-25",83.84,4.293,131.0287742,11.627
1,"2011-10-28",66.57,3.372,217.6766791,7.866
28,"2011-02-18",53.35,3.43,127.99525,14.021
38,"2011-09-02",93.66,3.798,129.3259355,13.503
38,"2012-10-05",81.61,3.966,131.0756667,10.199
8,"2010-04-16",62.66,2.808,213.8186357,6.29
11,"2011-08-05",90.04,3.684,218.9023209,7.567
1,"2011-08-05",91.65,3.684,215.544618,7.962
27,"2010-11-12",45.9,3.065,136.8349032,8.021
16,"2010-12-17",26.01,2.778,191.0303376,6.986
23,"2011-01-28",10.91,3.243,133.1059677,5.114
15,"2011-11-11",47.13,3.719,136.4618065,7.866
16,"2012-03-02",23.4,3.191,196.9565303,6.162
27,"2011-11-04",44.46,3.738,140.4279758,7.906
22,"2012-04-06",46.38,3.957,141.7712396,7.671
16,"2011-08-19",68.83,3.499,194.2500634,6.338
33,"2011-11-25",62.35,3.76,129.8364,8.01
41,"2010-12-24",29.81,2.781,191.1430189,7.508
30,"2012-01-27",50.79,3.29,219.7188636,7.057
41,"2012-09-07",67.41,3.596,198.0950484,6.432
17,"2011-08-05",65.71,3.595,129.1846452,6.745
26,"2011-04-01",22.99,3.638,134.0682581,7.818
1,"2012-08-31",80.49,3.638,222.3054805,6.908
42,"2011-02-25",53.59,3.398,128.13,8.744
27,"2011-02-04",28.7,3.4,137.0542431,7.827
10,"2010-02-05",54.34,2.962,126.4420645,9.765
1,"2010-10-15",67.18,2.72,211.8137436,7.838
23,"2012-07-20",71.13,3.61,138.2331935,4.156
24,"2012-05-18",63.1,4.029,138.1065806,8.983
26,"2012-07-06",64.94,3.538,138.2296333,7.405
36,"2010-07-02",81.85,2.606,209.984205,8.36
20,"2011-06-17",66.41,3.842,208.1265604,7.287
2,"2011-08-19",89.86,3.554,215.3229307,7.852
45,"2011-09-30",70.66,3.645,187.2566641,8.625
19,"2012-07-27",74.43,3.82,138.2033871,8.193
41,"2011-12-23",25.59,3.173,196.1713893,6.759
28,"2010-07-16",97.18,3.094,126.1498065,14.18
34,"2012-07-06",77.95,3.187,130.7196333,9.285
30,"2011-03-18",63.26,3.488,214.0156238,8.028
19,"2010-06-11",61.64,2.972,132.4357419,8.185
45,"2010-08-13",78.44,2.805,182.6226346,8.743
25,"2011-07-08",71.64,3.711,208.4386847,7.274
4,"2010-09-17",64.91,2.594,126.1454667,7.372
13,"2012-02-24",35.38,3.145,130.5502069,6.104
24,"2010-12-24",27.74,3.309,132.7477419,8.275
21,"2011-05-27",76.86,3.786,215.1544822,7.931
41,"2010-05-21",50.59,2.776,189.467827,7.363
43,"2010-10-08",72.81,2.633,203.6651786,10.21
17,"2010-02-05",23.11,2.666,126.4420645,6.548
32,"2010-12-31",27.7,2.829,191.2557002,9.137
29,"2010-07-09",79.22,2.806,132.5461333,10.409
26,"2012-06-15",57.84,3.683,138.1295333,7.489
45,"2010-10-08",56.49,2.764,182.7640032,8.724
42,"2012-06-15",88.58,4.144,130.8295333,7.382
45,"2010-10-15",58.61,2.868,182.8106203,8.724
13,"2011-11-04",43.51,3.538,129.8051935,6.392
20,"2011-09-02",70.82,3.703,208.9625161,7.274
37,"2010-06-18",84.37,2.637,210.2108417,8.464
16,"2010-04-09",34.21,2.75,189.6901012,6.842
2,"2011-11-04",55.53,3.332,217.4853605,7.441
22,"2011-10-14",62.63,3.583,140.4784194,7.706
41,"2012-08-31",71.56,3.556,198.0967341,6.432
17,"2010-06-25",62.64,2.82,126.1266,6.635
27,"2011-03-04",36.99,3.605,137.5017028,7.827
26,"2011-04-15",39.46,3.823,134.2784667,7.818
37,"2012-10-12",71.28,3.601,222.0510793,6.228
4,"2010-12-10",42.4,2.86,126.7934,7.127
34,"2011-07-29",78.04,3.659,129.1677097,10.641
21,"2010-08-13",89.65,2.692,211.2951413,8.099
33,"2012-02-17",57.8,3.781,130.4546207,7.603
37,"2011-04-22",74.57,3.807,214.1921572,8.3
35,"2011-03-25",40.11,3.625,137.8478929,8.549
44,"2011-05-20",52.12,3.802,129.0756774,6.906
40,"2011-06-24",62.59,3.851,135.2652667,4.781
6,"2011-09-23",78.49,3.467,217.9188471,6.925
13,"2010-11-05",49.96,2.831,126.4912903,7.795
24,"2012-10-26",55.16,4.071,138.7281613,8.693
43,"2011-03-25",65.53,3.473,206.4496175,10.398
36,"2010-10-29",76.22,2.68,210.6736944,8.476
42,"2010-04-16",69.74,3.109,126.5621,9.524
8,"2010-07-30",76.02,2.64,214.7418728,6.315
33,"2012-03-02",60.91,3.882,130.6457931,7.603
13,"2012-08-31",79.18,3.624,130.8853548,5.765
6,"2011-07-15",88.93,3.575,216.9044732,6.925
8,"2011-12-16",39.79,3.159,222.6910959,6.123
23,"2010-06-04",64.94,2.857,132.3648387,5.435
32,"2012-04-20",49.15,3.936,197.7227385,8.09
36,"2011-11-25",66.41,3.181,217.1812533,7.716
5,"2010-04-30",67.53,2.78,210.939388,6.465
41,"2011-04-08",42.87,3.532,192.3418571,6.934
2,"2011-01-28",42.83,3.01,211.8552668,8.028
19,"2011-12-09",40.18,3.627,136.5030667,7.866
26,"2011-01-07",21.13,3.193,132.8823226,7.907
15,"2012-06-29",68.91,3.667,138.1962667,8.15
22,"2012-01-06",34.61,3.439,140.6461359,7.503
32,"2012-08-03",75.09,3.528,198.0293893,7.872
32,"2011-07-01",72.86,3.597,193.0930552,8.622
27,"2012-09-21",66.1,4.203,142.6798167,8.239
27,"2010-12-31",29.59,3.336,136.665265,8.021
21,"2010-07-16",85.61,2.623,210.7577954,8.099
44,"2010-03-19",42.49,2.782,126.6066452,8.119
28,"2010-04-23",64.55,3.05,126.4713333,14.099
4,"2011-11-11",47.12,3.286,129.8167097,5.143
43,"2010-04-23",62.71,2.795,202.4831905,9.593
8,"2012-05-25",76.11,3.561,225.3005779,5.679
22,"2010-07-09",79.22,2.806,136.3962643,8.433
33,"2011-07-01",98.43,3.842,129.0894,8.442
34,"2012-09-14",64.28,3.706,130.9776667,9.285
5,"2011-02-25",63.35,3.065,214.0955503,6.634
18,"2010-10-15",52.02,2.878,132.7633548,9.331
34,"2010-02-05",35.44,2.598,126.4420645,9.521
21,"2011-08-12",92.32,3.638,215.2593211,7.852
38,"2010-10-22",68.85,3.014,126.3815484,14.313
44,"2010-08-27",75.31,2.854,126.0892903,7.804
39,"2011-02-25",67.77,3.065,212.2912786,8.395
31,"2011-12-23",46.54,3.112,218.9995495,7.441
15,"2010-02-19",27.54,2.909,131.637,8.35
39,"2011-08-26",86.49,3.523,214.4878416,8.177
23,"2010-04-02",40.5,2.826,131.9019677,5.435
3,"2010-08-20",88.02,2.664,214.9314191,7.346
22,"2012-02-10",35.68,3.655,141.1199827,7.503
22,"2010-02-26",35.98,2.753,135.5195191,8.283
16,"2011-02-25",26.15,3.101,191.9647167,6.614
4,"2011-11-18",50.44,3.294,129.8268333,5.143
15,"2011-03-04",28.16,3.605,133.6141429,7.771
35,"2012-06-01",73.4,3.742,142.1095438,8.876
44,"2012-08-10",81.69,3.509,130.7561613,5.407
26,"2011-11-11",40.08,3.57,136.4618065,7.598
10,"2011-11-11",55.28,3.677,129.8167097,7.874
20,"2010-10-22",50.52,2.917,205.0627881,7.484
16,"2011-12-30",23.91,3.119,196.3586101,6.232
26,"2011-08-19",60.58,3.82,136.183129,7.767
21,"2012-09-21",71.54,3.721,222.4169362,6.565
34,"2011-02-18",45.12,3.058,127.99525,10.398
27,"2011-09-30",70.92,3.858,140.381,7.85
43,"2011-07-22",88.58,3.651,207.2538111,10.641
22,"2010-07-02",72.88,2.815,136.3722893,8.433
36,"2010-05-21",77.34,2.767,209.3922937,8.464
26,"2010-11-05",30.51,2.938,132.9245806,8.149
15,"2012-10-26",55.75,4.071,138.7281613,7.992
1,"2012-02-10",48.02,3.409,220.2651783,7.348
37,"2011-05-20",73.02,3.907,214.465412,8.3
7,"2010-06-18",52.7,2.674,189.4185259,8.963
8,"2012-10-19",62.99,3.594,227.0184166,5.124
25,"2010-03-19",45,2.844,204.3782258,8.187
18,"2012-08-17",73.25,3.84,138.1857097,8.535
35,"2011-10-07",56.91,3.583,140.43475,8.745
42,"2011-10-28",72.79,3.843,129.7936774,7.874
22,"2010-07-16",76.3,2.796,136.4179827,8.433
20,"2012-05-25",70.04,3.798,214.5499425,7.139
42,"2011-05-13",74.04,4.202,129.089,8.494
16,"2010-06-25",62.37,2.715,189.4533931,6.842
13,"2012-10-12",55.1,3.797,131.1083333,5.621
38,"2010-12-10",50.01,3.203,126.7934,14.313
26,"2011-03-11",28.13,3.6,133.7361429,7.907
42,"2011-07-01",95.36,3.842,129.0894,8.257
10,"2010-10-15",75.48,3.08,126.3266774,9.003
27,"2012-07-06",82.08,3.646,142.2234298,8.239
8,"2010-12-31",41.47,2.943,214.7447295,6.433
17,"2010-06-11",57.14,2.841,126.1119032,6.635
27,"2011-07-08",76.87,3.886,139.5442083,7.85
23,"2011-04-29",54.2,3.988,134.4357333,4.781
30,"2012-08-03",91.57,3.417,221.5869799,6.565
17,"2011-11-18",32.93,3.489,129.8268333,6.617
26,"2010-07-23",65.4,2.784,132.5825806,8.445
34,"2011-08-19",77.08,3.55,129.2405806,10.641
23,"2010-03-05",33.15,2.766,131.735,5.892
40,"2011-08-12",68.3,3.88,136.144129,4.584
28,"2011-11-25",53.25,3.622,129.8364,12.89
34,"2011-06-10",74.57,3.64,129.0357097,10.581
36,"2011-05-06",69.56,3.917,214.5240376,8.3
11,"2012-07-13",82.46,3.256,225.4340074,6.334
33,"2010-02-19",62.16,2.915,126.5262857,10.115
16,"2011-11-04",33.43,3.527,195.4847959,6.232
32,"2012-07-06",78.68,3.646,197.8322195,7.872
1,"2011-05-27",77.72,3.786,215.5037878,7.682
33,"2012-04-13",73.17,4.254,131.108,7.396
19,"2011-10-14",61.86,3.744,136.5150968,7.866
1,"2010-05-07",72.55,2.835,210.3399684,7.808
45,"2012-06-15",71.93,3.62,191.0299731,8.567
40,"2012-05-11",52.06,3.947,138.0882667,4.125
42,"2011-04-15",61.05,4.089,128.9107333,8.494
25,"2011-08-12",70.93,3.812,208.7820061,7.274
20,"2010-11-26",46.66,3.039,204.9621,7.484
32,"2010-09-24",64.19,2.793,190.5713264,9.017
4,"2011-12-16",36.44,3.149,129.8980645,5.143
22,"2012-09-21",63.38,4.056,142.6798167,7.753
41,"2012-01-27",33.15,3.038,196.8262786,6.589
21,"2012-10-12",61.53,3.601,223.0154263,6.17
20,"2010-06-25",75.17,2.808,204.5675459,7.856
19,"2012-03-23",56.72,4.054,137.6552903,7.943
17,"2010-08-27",65.03,2.854,126.0892903,6.697
22,"2010-08-27",68.99,2.77,136.557015,8.433
26,"2010-05-14",39.08,2.983,132.152129,8.512
20,"2011-04-29",62.97,3.962,208.6386,7.287
45,"2011-06-10",73.88,3.881,185.6486923,8.521
27,"2011-01-28",23.64,3.402,136.9706544,7.827
10,"2010-09-24",85.75,2.939,126.1900333,9.199
9,"2011-10-14",67.27,3.274,220.9836849,6.054
20,"2011-07-01",69.66,3.748,208.3346432,7.274
